Series_Title,My_rating 
The Shawshank Redemption,8.8
The Godfather,9.2
The Dark Knight,10.0
The Godfather: Part II,9.2
12 Angry Men,8.4
Pulp Fiction,8.0
Inception,8.8
Fight Club,8.8
Forrest Gump,9.6
The Matrix,8.8
Goodfellas,8.0
One Flew Over the Cuckoo's Nest,9.2
Interstellar,10.0
Se7en,8.0
The Silence of the Lambs,9.6
Joker,9.2
Whiplash,7.5
The Prestige,9.2
The Departed,8.4
The Pianist,9.6
The Usual Suspects,10.0
Psycho,10.0
Django Unchained,7.5
3 Idiots,8.0
Memento,8.0
The Shining,10.0
Rear Window,8.4
Incendies,9.2
Inglourious Basterds,10.0
Requiem for a Dream,7.5
Reservoir Dogs,7.5
Taxi Driver,9.6
A Clockwork Orange,9.2
2001: A Space Odyssey,9.6
Vertigo,10.0
Citizen Kane,8.4
Shutter Island,10.0
The Wolf of Wall Street,7.5
There Will Be Blood,10.0
A Beautiful Mind,7.5
Heat,8.8
Casino,8.0
Dial M for Murder,9.6
Gone Girl,8.4
Prisoners,10.0
No Country for Old Men,8.0
The Sixth Sense,8.8
Dead Poets Society,8.8
Chinatown,9.2
La La Land,10.0
The Revenant,7.5
Black Swan,10.0
Donnie Darko,8.8
Jaws,7.5
Rope,9.2
Knives Out,8.8
Call Me by Your Name,8.8
Nightcrawler,8.8
Mystic River,9.6
Mulholland Dr.,9.6
Strangers on a Train,8.4
Dunkirk,7.5
Manchester by the Sea,8.0
Titanic,7.5
Get Out,9.6
(500) Days of Summer,8.4
Zodiac,8.0
Primal Fear,8.4
Blue Velvet,9.2
American Psycho,8.4
